location-id,semantic-place
1010100001,SMUSISL1LOBBY
1010100002,SMUSISL1LOBBY
1010100003,SMUSISL1LOBBY
1010100004,SMUSISL1LOBBY
1010100005,SMUSISL1LOBBY
1010100006,SMUSISL1WAITINGAREA
1010100007,SMUSISL1WAITINGAREA
1010100008,SMUSISL1WAITINGAREA
1010100009,SMUSISL1WAITINGAREA
1010100010,SMUSISL1WAITINGAREA
1010100011,SMUSISL1WAITINGAREA
1010100012,SMUSISL1WAITINGAREA
1010100013,SMUSISL1WAITINGAREA
1010100014,SMUSISL1WAITINGAREA
1010100015,SMUSISL1WAITINGAREA
1010100016,SMUSISL1WAITINGAREA
1010100017,SMUSISL1WAITINGAREA
1010100018,SMUSISL1RECEPTION
1010100019,SMUSISL1RECEPTION
1010100020,SMUSISL1RECEPTION
1010100021,SMUSISL1RECEPTION
1010100022,SMUSISL1RECEPTION
1010100023,SMUSISL1RECEPTION
1010100024,SMUSISL1WAITINGAREA
1010100025,SMUSISL1WAITINGAREA
1010100026,SMUSISL1LOBBY
1010100027,SMUSISL1LOBBY
1010100028,SMUSISL1LOBBY
1010100029,SMUSISL1LOBBY
1010100030,SMUSISL1LOBBY
1010100031,SMUSISL1LOBBY
1010100032,SMUSISL1LOBBY
1010100033,SMUSISL1LOBBY
1010100034,SMUSISL1LOBBY
1010100035,SMUSISL1LOBBY
1010100036,SMUSISL1LOBBY
1010100037,SMUSISL1RECEPTION
1010100038,SMUSISL1RECEPTION
1010100039,SMUSISL1RECEPTION
1010110001,SMUSISB1CORRIDORTOSOE
1010110002,SMUSISB1CORRIDORTOSOE
1010110003,SMUSISB1CORRIDORTOSOE
1010110004,SMUSISB1CORRIDORTOSOE
1010110005,SMUSISB1CORRIDORTOSOE
1010110006,SMUSISB1CORRIDORTOSOE
1010110007,SMUSISB1CORRIDORTOSOE
1010110008,SMUSISB1CORRIDORTOSOE
1010110009,SMUSISB1CORRIDORTOSOE
1010110010,SMUSISB1CORRIDORTOSOE
1010110011,SMUSISB1CORRIDORTOSOE
1010110012,SMUSISB1CORRIDORTOSOE
1010110013,SMUSISB1CORRIDORTOSOE
1010110014,SMUSISB1CORRIDORTOSOE
1010110015,SMUSISB1CORRIDORTOSOE
1010110016,SMUSISB1CORRIDORTOSOE
1010110017,SMUSISB1CORRIDORTOSOE
1010110018,SMUSISB1CORRIDORTOSOE
1010110019,SMUSISB1CORRIDORTOSOE
1010110020,SMUSISB1CORRIDORTOSOE
1010110021,SMUSISB1LIFTLOBBY
1010110022,SMUSISB1LIFTLOBBY
1010110023,SMUSISB1LIFTLOBBY
1010110024,SMUSISB1LIFTLOBBY
1010110025,SMUSISB1LIFTLOBBY
1010110026,SMUSISB1LIFTLOBBY
1010110027,SMUSISB1LIFTLOBBY
1010110028,SMUSISB1LIFTLOBBY
1010110029,SMUSISB1LIFTLOBBY
1010110030,SMUSISB1LIFTLOBBY
1010110031,SMUSISB1LIFTLOBBY
1010110032,SMUSISB1LIFTLOBBY
1010110033,SMUSISB1LIFTLOBBY
1010110034,SMUSISB1LIFTLOBBY
1010110035,SMUSISB1LIFTLOBBY
1010110036,SMUSISB1LIFTLOBBY
1010110037,SMUSISB1STUDYAREA
1010110038,SMUSISB1STUDYAREA
1010110039,SMUSISB1STUDYAREA
1010110040,SMUSISB1STUDYAREA
